config,file,metric,k,n,rate,ci_lo,ci_hi
XiYan baseline,baseline.csv,EX,101,112,90.2,83.3,94.4
XiYan baseline,baseline.csv,VER,109,112,97.3,92.4,99.1
XiYan schema-only,rag_schema.csv,EX,97,112,86.6,79.1,91.7
XiYan schema-only,rag_schema.csv,VER,109,112,97.3,92.4,99.1
XiYan few-shot,rag_fewshot.csv,EX,109,112,97.3,92.4,99.1
XiYan few-shot,rag_fewshot.csv,VER,112,112,100.0,96.7,100.0
XiYan full RAG,rag.csv,EX,110,112,98.2,93.7,99.5
XiYan full RAG,rag.csv,VER,112,112,100.0,96.7,100.0
Qwen baseline,qwen27b_baseline.csv,EX,104,112,92.9,86.5,96.3
Qwen baseline,qwen27b_baseline.csv,VER,112,112,100.0,96.7,100.0
Qwen schema-only,qwen27b_rag_schema.csv,EX,106,112,94.6,88.8,97.5
Qwen schema-only,qwen27b_rag_schema.csv,VER,112,112,100.0,96.7,100.0
Qwen few-shot,qwen27b_rag_fewshot.csv,EX,112,112,100.0,96.7,100.0
Qwen few-shot,qwen27b_rag_fewshot.csv,VER,112,112,100.0,96.7,100.0
Qwen full RAG,qwen27b_rag.csv,EX,112,112,100.0,96.7,100.0
Qwen full RAG,qwen27b_rag.csv,VER,112,112,100.0,96.7,100.0
